persona,nombre,apellido,genero,direccion,dni,telefono1-2,departamento,ubigeo
263,"MARSHALL	",          CHAVEZ,M,CA. PSJE.SAN AGUSTIN 110-2,23658039,26059780-26059780,LIMA,15101
264,"ASHLEY	",          JONES,F,CA. M.M.IZAGA 710,23658040,20266663171-20266663171,LIMA,15101
265,"ADRIAN	",          STEWART,M,CA. VICENTE DE LA VEGA 867-869,23658041,38256343-38256343,LIMA,15101
266,"AMBER	",          TURNER,F,CA. paseo de la republica 1020,23658042,21126217-21126217,LIMA,15101
267,"DENNIS	",          ZHANG,M,CA. LORD COCHRANE 366,23658043,20430040180-20430040180,LIMA,15101
268,"HAILEY	",          BRYANT,F,CA. PROLONGACION HUANUCO 118-124,23658044,20170974311-20170974311,SAN MARTIN,FALSO
269,"TODD	",          LI,M,CA. LIMA,23658045,12897952-12897952,LIMA,15101
270,"ANNA	",          GRIFFIN,F,CA. LAS TURQUESAS 270 BALCONCILLO,23658046,3707948-3707948,LIMA,15101
271,"ANGEL	",          STEWART,M,CA. NESTOR GAMBETTA Nø 983,23658047,13560455-13560455,LIMA,15101
272,"JEREMY	",          BUTLER,M,CA. JUAN FIGARI 181,23658048,20501630595-20501630595,LIMA,15101
273,"CLARENCE	",          ANAND,M,CA. PUNO 423-424 A MIRAFLORES,23658049,20371975561-20371975561,LIMA,15101
274,"MAYRA	",          PRASAD,F,CA. SAN ROMAN 158,23658050,213347-213347,LIMA,15101
275,"LATOYA	",          GOEL,F,CA. SANTO DOMINGO 132 CERCADO,23658051,13671761-13671761,LIMA,15101
276,"ANNE	",          HERNANDEZ,F,CA. sebastian barranca 212,23658052,20372276500-20372276500,LIMA,15101
277,"LISA	",          CAI,F,"CA. DOMINGO ELIAS 1457 ""A""",23658053,2000352525-2000352525,LIMA,15101
278,"LARRY	",          MUNOZ,M,CA. VALLE RIESTRA 1321. DPTO 5.,23658054,2000309786-2000309786,LIMA,15101
279,"ROBIN	",          ALVAREZ,F,CA. ELMER FAUCETT 354 OF 201 MARANGA,23658055,3191764-3191764,LIMA,15101
280,"ALEXIS	",          COLEMAN,F,CA. ASOC. CRISTINA VILDOSO PSTO 37. TACNA.,23658056,20112317563-20112317563,LIMA,15101
281,"RICKY	",          VAZQUEZ,M,CA. REPUBLICA DOMINICANA 208,23658057,20260139844-20260139844,LIMA,15101
282,"LATASHA	",          RUBIO,F,CA. GRAU 514,23658058,15731-15731,LIMA,15101
283,"CLAUDIA	",          ZHOU,F,CA. ENRIQUE PALACIOS 240 OF.702,23658059,161509-161509,LIMA,15101
284,"TRISTAN	",          ALEXANDER,M,CA. PARQUE ROSPIGLIOSI 194,23658060,20337564373-20337564373,LIMA,15101
285,"CINDY	",          PATEL,F,CA. ARNALDO MARQUEZ 1165,23658061,11205739-11205739,LIMA,15101
286,"SHANNON	",          LIU,F,CA. PROSPERO 581-583,23658062,34784515-34784515,LIMA,15101
287,"XAVIER	",          LONG,M,CA. M.VILLAVICENCIO 197,23658063,81862473-81862473,LIMA,15101
288,"NICHOLAS	",          THOMPSON,M,CA. L.ESPINAR 491,23658064,164375582-164375582,LAMBAYEQUE,FALSO
289,"JOSÉ	",          HERNANDEZ,M,CA. VIA CENTRAL 150 CENTRO EMPRESARIAL,23658065,25118367-25118367,LIMA,15101
290,"JOHNATHAN	",          VANCE,M,CA. MZ.G LTE.10 COOP.FAMILIAS UNIDAS,23658066,20416848522-20416848522,LIMA,15101
291,"COLIN	",          LIN,M,CA. SAN JUAN DE DIOS 111,23658067,42875783-42875783,LIMA,15101
292,"KATELYN	",          HERNANDEZ,F,CA. MZ.D-1 URB.LOS CEDROS,23658068,20547405-20547405,LIMA,15101
293,"JACQUELINE	",          POWELL,F,CA. PABELLON SAN MARTIN PTO.39 LAS MALVINAS,23658069,34385343-34385343,LIMA,15101
294,"XAVIER	",          HILL,M,CA. HUERTOS DE MANCHAY MZ.C-13 LOTE 5,23658070,41768258-41768258,LIMA,15101
295,"VICTORIA	",          STEWART,F,CA. BOLIVAR 163,23658071,2000003120-2000003120,LIMA,15101
296,"KATELYN	",          KELLY,F,CA. MARISCAL DE ORBEGOZO 491,23658072,141834-141834,LIMA,15101
297,"STEPHANIE	",          COLLINS,F,CA. FRANCISCO GRA¥A 155 URB.STA.CATALINA,23658073,20424653561-20424653561,LIMA,15101
298,"JENNIFER	",          SIMMONS,F,CA. PASAJE LOS LAURELES MZ J LT 1,23658074,724155-724155,LIMA,15101
299,"TRINITY	",          RICHARDSON,F,CA. SARGENTO LORES 215 MAYNAS,23658075,33397224-33397224,LIMA,15101
300,"EDUARDO	",          MARTIN,M,CA. ESQ.SAN JUAN DE DIOS 201 MORAN,23658076,2042760013-2042760013,LIMA,15101
301,"ELIZABETH	",          JONES,F,CA. PROLONGACION PIURA 342,23658077,X-X,LIMA,15101
302,"TAYLOR	",          HOWARD,F,CA. E.CAMACHO # 972,23658078,11424589-11424589,LIMA,15101
303,"DAVID	",          DIAZ,M,"CA. ucv nro.8 Lte.23 Zona ""A""",23658079,1406375-1406375,LIMA,15101
304,"KATELYN	",          CARTER,F,CA. GRIMALDO DEL SOLAR 111,23658080,200546506-200546506,LIMA,15101
305,"RYAN	",          FOSTER,M,CA. ARNALDO MARQUEZ 1626-1632,23658081,2025981420-2025981420,LIMA,15101
306,"ROBERT	",          LEE,M,CA. ROCCA DE VERGALLO 201,23658082,20405082790-20405082790,MOQUEGUA,FALSO
308,"DANIELLE	",          REED,F,CA. DOS DE MAYO 990,23658083,143730-143730,LIMA,15101
309,"LAUREN	",          MARTINEZ,F,CA. DOS DE MAYO 987,23658084,20202020-20202020,LIMA,15101
310,"NATHAN	",          LAL,M,CA. DIEGO FERRE 260,23658085,20202098-20202098,LIMA,15101
311,"KYLE	",          FOSTER,M,CA. ALFREDO MENDIOLA 3698 R - 04,23658086,20202097-20202097,LIMA,15101
312,"JENNY	",          RAI,F,CA. ASOC.RAMON COPAJA MZ.N LT.1,23658087,20202096-20202096,LIMA,15101
313,"NANCY	",          CHAPMAN,F,CA. ESPIGON NRO.4 COSTA VERDE,23658088,20202095-20202095,LIMA,15101
314,"CHARLES	",          JACKSON,M,CA. JOSE GALVEZ 427 PARQUE SALAZAR S/N,23658089,20202094-20202094,LIMA,15101
315,"JONATHAN	",          PHILLIPS,M,CA. JOCKEY PLAZA 4200,23658090,20202093-20202093,LIMA,15101
316,"AMANDA	",          COOK,F,CA. PROSPERO 149-151,23658091,20202092-20202092,LIMA,15101
317,"ROBERT	",          COLLINS,M,CA. HUSARES DE JUNIN 295,23658092,20202091-20202091,LIMA,15101
318,"MEGAN	",          BARNES,F,CA. MZ J3 LTE-13 SECTOR A PACHACUTEC,23658093,20202090-20202090,LIMA,15101
319,"CHRISTIAN	",          THOMAS,M,CA. HEMILIO VALDIZAN 204,23658094,20202089-20202089,LIMA,15101
320,"ARTURO	",          LAL,M,CA. PASEO DE LA REPUBLICA 1012,23658095,20202088-20202088,LIMA,15101
321,"THERESA	",          SERRANO,F,CA. PROCERES DE LA INDEPENDENCIA 1953-A,23658096,X0-X0,LIMA,15101
322,"JEREMY	",          ANDERSON,M,CA. FLORA TRISTAN 2935,23658097,20202087-20202087,LIMA,15101
323,"HUNTER	",          GRIFFIN,M,CA. Fanning 1204-Iquitos,23658098,20202085-20202085,LIMA,15101
324,"HENRY	",          GARCIA,M,CA. Jimenez Pimentel 141 Tarapoto,23658099,79016065301-79016065301,LIMA,15101
325,"CINDY	",          SANCHEZ,F,CA. REPUBLICA DE PANAMA 225,23658100,X-X,LIMA,15101
326,"MARIA	",          CARTER,F,CA. Esquina Jr. Lima-Apurimac 1007,23658101,20202020982-20202020982,LIMA,15101
327,"KATELYN	",          SANCHEZ,F,CA. k3 Panamericana Norte,23658102,20202080-20202080,LIMA,15101
328,"JENNA	",          WRIGHT,F,CA. Zona Industrial 1-2 Sub lote 1 y 5b MZ z,23658103,41528974-41528974,LIMA,15101
329,"SETH	",          PHILLIPS,M,CA. LOS CEDROS 220 SAN ISIDRO,23658104,20202020-20202020,LIMA,15101
330,"LUKE	",          LONG,M,CA. LA MARINA 3112,23658105,60038-60038,LIMA,15101
331,"DALTON	",          CLARK,M,CA. LOS CALDEROS 286 - URB. VULCANO,23658106,20202020-20202020,LIMA,15101
332,"TAYLOR	",          LEWIS,F,CA. LAS Asturias 469,23658107,X-X,LIMA,15101
333,"HALEY	",          RICHARDSON,F,CA. parcela ii manz. l lote 31-Pque. Industr,23658108,41768258-41768258,LIMA,15101
334,"NOAH	",          COLEMAN,M,CA. Puesto 17 Pabellon R-II -Las Malvinas,23658109,2001128777-2001128777,LIMA,15101
335,"JON	",          LUO,M,CA. lampa 1058 Tda 101,23658110,X-X,LIMA,15101
336,"ORLANDO	",          VAZQUEZ,M,CA. LOS EUCALIPTOS 296 DPTO 1902,23658111,72085-72085,LIMA,15101
337,"FERNANDO	",          BARNES,M,CA. BERNARDO ALCEDO 224,23658112,20202091-20202091,LIMA,15101
338,"CAMERON	",          RODRIGUEZ,M,CA. PARCELA II MANZ. L LOTE 31 SOLIDARIDAD,23658113,X-X,LIMA,15101
339,"SPENCER	",          RUSSELL,M,CA. ASOC. VIRGEN DEL CARMEN MZ-B LOT-14. ATE.,23658114,X-X,LIMA,15101
340,"JULIA	",          COLEMAN,F,CA. C.C. CAMINOS DEL INCA TDA. 20,23658115,156238-156238,LIMA,15101
341,"JULIA	",          GARCIA,F,CA. PROLONGACIàN ARICA 1860,23658116,43723553-43723553,LIMA,15101
342,"SEAN	",          EVANS,M,CA. LOS CALDEROS 286,23658117,20202011-20202011,LIMA,15101
343,"MICAH	",          ZHOU,M,CA. PEDRO RUIZ 731 754,23658118,20209111-20209111,LIMA,15101
344,"HUNTER	",          RODRIGUEZ,M,CA. PASAJE SANTA CATALINA NRO. 106. AREQUIPA-AREQUIPA-AREQUIPA.,23658119,X-X,LIMA,15101
345,"IAN	",          GONZALES,M,CA. PASAJE OLAYA 115,23658120,X-X,LIMA,15101
346,"VICTORIA	",          LEWIS,F,CA. ALCANFORES 393,23658121,X-X,LIMA,15101
347,"ERIN	",          SANDERS,F,CA. LOS EUCALIPTOS 555,23658122,X-X,LIMA,15101
348,"GABRIELLE	",          LOPEZ,F,CA. LOS NEGOCIOS 448,23658123,X-X,LIMA,15101
349,"SARA	",          RICHARDSON,F,CA. a,23658124,X-X,LIMA,15101
350,"TREVOR	",          JENKINS,M,CA. MZ J3 LT 25 CALLE CENTINELA VILLA MANGOMARCA ALTA,23658125,X-X,LIMA,15101
351,"MYA	",          FLORES,F,CA. al,23658126,X-X,LIMA,15101
352,"HAILEY	",          WARD,F,CA. MALECON DE LA RESERVA 610 TDA 102,23658127,X-X,LIMA,15101
353,"LUKE	",          ALLEN,M,CA. PEDRO DE OSMA 409,23658128,20496385668-20496385668,LIMA,15101
354,"VICTORIA	",          RUSSELL,F,CA. OSCAR R. BENAVIDES 2531,23658129,X-X,LIMA,15101
355,"JESSICA	",          WILSON,F,CA. TARAPA 831,23658130,X-X,LIMA,15101
356,"JADE	",          BAILEY,F,CA. LAS BEGONIAS 475 3ER PISO,23658131,81380924-81380924,LIMA,15101
357,"MORGAN	",          HILL,F,CA. Cll Federico Recavarren 125-131 Of 204 M,23658132,31226490-31226490,LIMA,15101
358,"TERRANCE	",          RAMAN,M,CA. ESQ. MAYOR NOVOA Y ZARUMILLA 199 BARRIO SAN JOSE TUMBES,23658133,34123535-34123535,LIMA,15101
359,"SYDNEY	",          GARCIA,F,CA. Lora y Cordero Nø 864,23658134,2000898838-2000898838,LIMA,15101
360,"JOSE	",          PATTERSON,M,CA. Sta. Violeta 285 !era. Entrada S.M.P.,23658135,20425320450-20425320450,LIMA,15101
361,"ZACHARY	",          ANDERSON,M,CA. Francisco Masias 505,23658136,21744573-21744573,LIMA,15101
362,"ELIJAH	",          ROSS,M,CA. Gral. C¢rdova 975,23658137,41614463-41614463,LIMA,15101
363,"RAFAEL	",          XIE,M,CA. Mz. 1 Lt. a Urb. Palmas Reales - Los Oli,23658138,2000327849-2000327849,LIMA,15101
364,"JAIME	",          MORENO,M,CA. MAITA CAPAC 160 TRUJILLO,23658139,20423573164-20423573164,LIMA,15101
365,"JULIAN	",          GRIFFIN,M,CA. PASAJE REPUBLICA ARABE UNIDA 130,23658140,20114803228-20114803228,LIMA,15101
366,"ANDY	",          ALVAREZ,M,CA. Choquechaca 384,23658141,1806366-1806366,LIMA,15101
367,"RYAN	",          THOMPSON,M,CA. San Jos‚ Nø 316,23658142,X-X,LIMA,15101
368,"SAMANTHA	",          JENKINS,F,CA. Manuel Mu¤oz Najar 410 Of. 3,23658143,32091-32091,LIMA,15101
369,"DEANNA	",          RAMOS,F,CA. Paseo de la Republica 749,23658144,20295360314-20295360314,LIMA,15101
370,"EMILY	",          MILLER,F,CA. CHALET 62-D UV-3,23658145,80126-80126,LIMA,15101
371,"NICOLE	",          BROWN,F,CA. MARISCAL AGUSTIN GAMARRA 291,23658146,X-X,LIMA,15101
372,"CARLA	",          RAMAN,F,CA. Mz. A Lote 1 Urb. La Roncadora - Ate,23658147,X-X,LIMA,15101
373,"SHAUN	",          RAJI,M,CA. Mz. 1 Lt. 34 Urb. Virgen del Rosario,23658148,X-X,LIMA,15101
375,"JEROME	",          ROMERO,M,CA. Terminal Terrestre Agencia Nø 9 y 11,23658149,906727-906727,LIMA,15101
376,"FRANK	",          NAVARRO,M,CA. FRANCISCO DE CUELLAR 136 DPTO 302,23658150,4255874-4255874,LIMA,15101
377,"DENNIS	",          SHE,M,CA. Je. 28 de Julio Nø 664 Esq. con Jr. Ilo,23658151,34119147-34119147,LIMA,15101
378,"MELODY	",          MUNOZ,F,CA. Jir¢n Montevideo Nø 762,23658152,20788968-20788968,LIMA,15101
379,"RANDY	",          ZENG,M,CA. Porcel Nø 105,23658153,13189447-13189447,LIMA,15101
380,"MARSHALL	",          WANG,M,CA. Plaza de Armas Nø 564 - Chincha Alta,23658154,18586444-18586444,LIMA,15101
381,"ARTHUR	",          CARLSON,M,CA. SHELL 329,23658155,26851254-26851254,LIMA,15101
382,"JESSIE	",          JIMENEZ,F,CA. COMANDANTE ARISTIDES ALJOBIN 431,23658156,25672585-25672585,LIMA,15101
383,"ROBIN	",          RAMOS,F,CA. Manco C pac 320 Of-02 Lima-Miraflores,23658157,30057058-30057058,LIMA,15101
384,"DEANNA	",          GUTIERREZ,F,CA. ASOCIACION CRISTINA VILDOSO PUESTO 2,23658158,12333-12333,LIMA,15101
386,"ROY	",          NAVARRO,M,CA. Plaza Castilla 109 Plaza Uni¢n - Lima,23658159,86197150-86197150,LIMA,15101
387,"SHAWN	",          RAI,M,CA. INTISUYO 337,23658160,12320221-12320221,LIMA,15101
388,"MINDY	",          LUO,F,CA. FRANCISCO DE CUELLAR 136,23658161,11841-11841,LIMA,15101
389,"CARA	",          ZHOU,F,CA. PROLOG. AV. SANCHEZ CERRO MZ. A LT 6-8,23658162,13728968-13728968,LIMA,15101
390,"ANNE	",          RAMOS,F,CA. PANAMERICANA NORTE KM 26.2 PARCELA 46-A.,23658163,2001395546-2001395546,LIMA,15101
391,"RAYMOND	",          RODRIGUEZ,M,CA. Nva. Tom s Marsano Nø 510 - Surquillo,23658164,X-X,LIMA,15101
392,"CARRIE	",          ORTEGA,F,CA. CHIMBOTE 212 SAN MARTIN DE SOCABAYA,23658165,X-X,LIMA,15101
393,"DEANNA	",          SUAREZ,F,CA. Loreto 397 - Piura,23658166,20333237513-20333237513,LIMA,15101
394,"ROBERTO	",          GUTIERREZ,M,JR. CORONEL INCLAN 759,23658167,20864613-20864613,LIMA,15101
395,"TERRENCE	",          CARSON,M,JR. FEDERICO GEROES 150 PANDO,23658168,11239196-11239196,LIMA,15101
396,"RAMON	",          YE,M,JR. PJ. VERAND 187,23658169,11803873-11803873,LIMA,15101
397,"CYNTHIA	",          MALHOTRA,F,JR. HIPOLITO UNANUE 175,23658170,198583249-198583249,LIMA,15101
398,"JARROD	",          PRASAD,M,JR. LEONCIO PRADO 536 SANTA-ANCASH,23658171,31873517-31873517,LIMA,15101
399,"TYRONE	",          SERRANO,M,JR. ELIAS AGUIRRE 155,23658172,20829192-20829192,LIMA,15101
400,"CINDY	",          RAMOS,F,JR. Santiago Tavara 1446 Chacra Rios,23658173,11582168-11582168,LIMA,15101
401,"DAMIEN	",          SHAN,M,JR. ALFREDO MENDIOLA 3698 R - 04,23658174,44745968-44745968,LIMA,15101
402,"JULIAN	",          ROSS,M,JR. ASOC.RAMON COPAJA MZ.N LT.1,23658175,11939554-11939554,LIMA,15101
403,"JENNIFER	",          COLLINS,F,JR. ESPIGON NRO.4 COSTA VERDE,23658176,12346948-12346948,LIMA,15101
404,"BRITTNEY	",          SUN,F,JR. Sta. Violeta 285 !era. Entrada S.M.P.,23658177,40330127-40330127,LIMA,15101
405,"VIRGINIA	",          PATEL,F,JR. Francisco Masias 505,23658178,40344667-40344667,LIMA,15101
406,"CALVIN	",          NARA,M,JR. Gral. C¢rdova 975,23658179,624843-624843,LIMA,15101
407,"EDWARD	",          MILLER,M,JR. Mz. 1 Lt. a Urb. Palmas Reales - Los Oli,23658180,43418980-43418980,LIMA,15101
408,"ASHLEE	",          TANG,F,JR. MAITA CAPAC 160 TRUJILLO,23658181,63361-63361,LIMA,15101
409,"ALICIA	",          XU,F,JR. PASAJE REPUBLICA ARABE UNIDA 130,23658182,489871-489871,LIMA,15101
410,"LACEY	",          JAI,F,JR. Choquechaca 384,23658183,29786879-29786879,LIMA,15101
411,"WENDY	",          ROMERO,F,JR. San Jos‚ Nø 316,23658184,2009063-2009063,LIMA,15101
412,"CARLY	",          LUO,F,JR. Manuel Mu¤oz Najar 410 Of. 3,23658185,X2020209-X2020209,LIMA,15101
413,"JIMMY	",          ORTEGA,M,JR. Paseo de la Republica 749,23658186,X-X,LIMA,15101
414,"FRANCISCO	",          MARTINEZ,M,JR. CHALET 62-D UV-3,23658187,20260284852-20260284852,LIMA,15101
415,"LANCE	",          VAZQUEZ,M,CA. PASO DE LOS ANDES  830,23658188,2000120403-2000120403,LIMA,15101
416,"DAVID	",          ROBINETT,M,CA. VICTOR MAURTUA 140 OF.203,23658189,20535350117-20535350117,LIMA,15101
417,"SHANNON	",          LIANG,F,CA. LOS ANGELES 325,23658190,2000016843-2000016843,LIMA,15101
418,"GARY	",          VAZQUEZ,M,CA. LOS TITANES 128 LA CAMPI¥A,23658191,X-X,LIMA,15101
419,"MITCHELL	",          KUMAR,M,CALLE LAS TIENDAS 290,23658192,X-X,LIMA,15101
420,"MEREDITH	",          RAMAN,F,CA. CA. BELISARIO FLORES 765,23658193,16745073-16745073,LIMA,15101
421,"EDWARD	",          PATTERSON,M,CA. CA. A-23-URB. 12 DE OCTUBRE- CERRO COLORADO,23658194,2033040478-2033040478,LIMA,15101
422,"MARIE	",          GILL,F,CA. CA. SANTO DOMINGO 102,23658195,415152-415152,LIMA,15101
423,"TIFFANY	",          WANG,F,CA. CA. LAS BEGONIAS 656 OF.29 B PISO 3,23658196,13291985-13291985,LIMA,15101
424,"MIGUEL	",          ALLEN,M,CA. CA. PASAJE URABAIN 180,23658197,2040012009-2040012009,LIMA,15101
425,"JACLYN	",          CAI,F,CA. CA. PROLONGACION LA MAR 779. LA VICTORIA.,23658198,20357642672-20357642672,LIMA,15101
426,"MEGAN	",          RAMIREZ,F,CA. CA. SUPERIOR 160 RINCONADA DEL LAGO,23658199,43280716-43280716,LIMA,15101
427,"JOSEPH	",          MARTIN,M,CA. CA. PEZET Y MONELL 2452,23658200,33958803-33958803,LIMA,15101
428,"KARL	",          SHAN,M,CA. CA. LIMA,23658201,19815020-19815020,LIMA,15101
429,"CHRISTINE	",          RAJI,F,CA. CA. LIMA,23658202,2002190514-2002190514,LIMA,15101
430,"LINDSAY	",          XIE,F,CA. CA. LIMA,23658203,43179462-43179462,LIMA,15101
431,"WILLIE	",          ZHAO,M,CA. CA. Santiago Tavara 1446 Chacra Rios,23658204,X-X,LIMA,15101
432,"KURT	",          PAL,M,CA. CA. ALMIRANTE GUISSE 1723,23658205,38749188-38749188,LIMA,15101
433,"GEORGE	",          MCDONALD,M,CA. CA. LOS CEDROS 598 DPTO 301,23658206,2000128056-2000128056,LIMA,15101
434,"BETH	",          GUTIERREZ,F,CA. CA. ISLAS VIRGENES 170,23658207,15561-15561,LIMA,15101
435,"IAN	",          LOPEZ,M,CA. CA. JOCKEY PLAZA,23658208,2001148298-2001148298,LIMA,15101
436,"LATOYA	",          SHAN,F,CA. CA. PROL.STA.ANA Mza.N Lte.4-578 LOS SAUCES,23658209,2000373956-2000373956,LIMA,15101
437,"COLIN	",          NATH,M,CA. CA. C/ NU¥EZ DE BALBOA 530,23658210,20390489146-20390489146,LIMA,15101
438,"BRENDA	",          MEHTA,F,CA. CA. PORTAL DE PANES 163,23658211,41417285-41417285,LIMA,15101
439,"FRANKLIN	",          RAJI,M,CA. CA. SAN JUAN DE DIOS 108-A,23658212,12862512-12862512,LIMA,15101
440,"LINDA	",          NAVARRO,F,CA. CA. ESQ.ELMER FAUCETT Y TOMAS VALLE S/N,23658213,31521866-31521866,LIMA,15101
441,"KELLI	",          CAI,F,CA. CA. ASOC.SE¥OR DE LOS MILAGROS PJ.33,23658214,X-X,LIMA,15101
442,"NANCY	",          SCHMIDT,F,CA. CA. PASAJE BRENNER 165 DPTO 10. JESUS MARIA.,23658215,30221885-30221885,LIMA,15101
443,"MEGAN	",          TAYLOR,F,CA. CA. ELIAS AGUIRRE 502,23658216,200087647-200087647,LIMA,15101
444,"BONNIE	",          GOEL,F,CA. CA. ALFREDO LAPOINT 1058,23658217,42720017-42720017,LIMA,15101
445,"LATOYA	",          XU,F,CA. CA. CIUDAD SATELITE STA.ROSA MZ W LT 25,23658218,2000070970-2000070970,LIMA,15101
446,"MARIO	",          SHE,M,CA. CA. JOSE GALVEZ BARRENECHEA  211,23658219,14421564-14421564,LIMA,15101
447,"DARREN	",          GILL,M,CA. CA. MAUNUEL MARIA IZAGA 774,23658220,187-187,LIMA,15101
448,"JACQUELINE	",          HAYES,F,CA. CA. JORGE CHAVEZ CDRA 7 S/N PTO.341,23658221,2000916241-2000916241,LIMA,15101
449,"MAURICE	",          GOEL,M,CA. CA. REPUBLICA DE PANAMA 250 URB.TORRES ARAUJ,23658222,42486850-42486850,LIMA,15101
450,"DEVIN	",          ROSS,M,CA. CA. JAVIER HERAUD 175 DPTO 301,23658223,32091-32091,LIMA,15101
451,"SYDNEY	",          BRYANT,F,CA. CA. PJE. REQUENA 170 BRE¥A,23658224,13522774-13522774,LIMA,15101
452,"MEGAN	",          STEWART,F,CA. CA. EMILIO CAVENECIA,23658225,2554367-2554367,LIMA,15101
453,"IAN	",          RICHARDSON,M,CA. CA. LOS ROSALES 280 SANTA VICTORIA,23658226,112419-112419,LIMA,15101
454,"RANDY	",          SHE,M,CA. CA. AMAZONAS 223,23658227,20402650401-20402650401,LIMA,15101
455,"KATRINA	",          BECKER,F,CA. CA. SAN JUAN DE DIOS 108-A,23658228,X-X,LIMA,15101
456,"LACEY	",          ZHENG,F,CA. CA. SAN JUAN DE DIOS 200-A,23658229,20123760141-20123760141,LIMA,15101
457,"RAFAEL	",          HU,M,CA. CA. FRANCISCO MASIAS 575 ESQ.CON DEAN VALDIV,23658230,X-X,LIMA,15101
458,"KYLE	",          SCOTT,M,CA. CA. MANUEL RUIZ 707,23658231,20387473808-20387473808,LIMA,15101
459,"JORDAN	",          TURNER,M,CA. CA. PSJE.SAN AGUSTIN 110-2,23658232,3170952-3170952,LIMA,15101
460,"AMY	",          SUN,F,CA. CA. M.M.IZAGA 710,23658233,52672240-52672240,LORETO,FALSO
461,"DUSTIN	",          DENG,M,CA. CA. paseo de la republica 1020,23658234,20390225327-20390225327,LIMA,15101
462,"JASMINE	",          STEWART,F,CA. CA. ELMER FAUCETT 354 OF 201 MARANGA,23658235,39880377-39880377,LIMA,15101
463,"PAMELA	",          GARCIA,F,CA. CA. ASOC. CRISTINA VILDOSO PSTO 37. TACNA.,23658236,X-X,LIMA,15101
464,"ARIANA	",          GRAY,F,CA. CA. GRAU 514,23658237,7518-7518,LIMA,15101
465,"KRISTOPHER	",          MEHTA,M,CA. CA. PROSPERO 581-583,23658238,19632130-19632130,LIMA,15101
466,"DESIREE	",          DOMINGUEZ,F,CA. CA. VIA CENTRAL 150 CENTRO EMPRESARIAL,23658239,31575-31575,LIMA,15101
467,"DEANNA	",          PEREZ,F,CA. CA. MZ.G LTE.10 COOP.FAMILIAS UNIDAS,23658240,34351694-34351694,LIMA,15101
468,"MARCO	",          LOPEZ,M,CA. CA. HUERTOS DE MANCHAY MZ.C-13 LOTE 5,23658241,2000894255-2000894255,LIMA,15101
470,"CASEY	",          YUAN,F,CA. CA. PROLONGACION PIURA 342,23658242,20470145065-20470145065,LIMA,15101
471,"BRYANT	",          GARCIA,M,CA. CA. E.CAMACHO # 972,23658243,X-X,LIMA,15101
472,"DOMINIQUE	",          PRASAD,F,CA. CA. DOS DE MAYO 990,23658244,20300766723-20300766723,LIMA,15101
473,"MAURICE	",          SHAN,M,CA. CA. Esquina Jr. Lima-Apurimac 1007,23658245,20174760412-20174760412,LIMA,15101
474,"ANDRE	",          LOPEZ,M,CA. CA. Zona Industrial 1-2 Sub lote 1 y 5b MZ z,23658246,95768879-95768879,LIMA,15101
475,"ROBIN	",          ROMERO,F,CA. CA. LOS CEDROS 220 SAN ISIDRO,23658247,20275429300-20275429300,LIMA,15101
476,"TAYLOR	",          COX,F,CA. CA. LA MARINA 3112,23658248,23013614-23013614,LIMA,15101
477,"ALFREDO	",          MORENO,M,CA. CA. LOS CALDEROS 286 - URB. VULCANO,23658249,31556112-31556112,LIMA,15101
478,"JENNY	",          NARA,F,CA. CA. LAS Asturias 469,23658250,2229880-2229880,LIMA,15101
479,"JANET	",          MUNOZ,F,CA. CA. parcela ii manz. l lote 31-Pque. Industr,23658251,3306670-3306670,LIMA,15101
480,"SERGIO	",          WEBER,M,CA. CA. lampa 1058 Tda 101,23658252,2001340130-2001340130,LIMA,15101
481,"ERIKA	",          GOMEZ,F,CA. CA. PARCELA II MANZ. L LOTE 31 SOLIDARIDAD,23658253,X-X,LIMA,15101
482,"JOSEPH	",          HARRIS,M,CA. CA. ASOC. VIRGEN DEL CARMEN MZ-B LOT-14. ATE.,23658254,X-X,LIMA,15101
483,"GRACE	",          GRIFFIN,F,CA. CA. LOS CALDEROS 286,23658255,29648727-29648727,LIMA,15101
484,"TINA	",          MEHTA,F,CA. CA. PEDRO RUIZ 731 754,23658256,20337093826-20337093826,LIMA,15101
485,"KARI	",          KIM,F,CA. CA. Cll Federico Recavarren 125-131 Of 204 M,23658257,31408377-31408377,LIMA,15101
486,"BETHANY	",          CHANDER,F,CA. CA. Terminal Terrestre Agencia Nø 9 y 11,23658258,2000206767-2000206767,LIMA,15101
487,"JENNIFER	",          ROBERTS,F,CA. CA. Porcel N 105,23658259,12555121-12555121,LIMA,15101
488,"KYLE	",          PATTERSON,M,CA. CA. SHELL 329,23658260,11216153-11216153,LIMA,15101
489,"ALVIN	",          HU,M,CA. CORONEL INCLAN 759,23658261,2000306841-2000306841,LIMA,15101
490,"BRETT	",          MEHTA,M,CA. FEDERICO GEROES 150 PANDO,23658262,29527903-29527903,LIMA,15101
491,"RUBEN	",          MUÑOZ,M,CA. PJ. VERAND 187,23658263,77656-77656,LIMA,15101
492,"ERIKA	",          RUBIO,F,CA. HIPOLITO UNANUE 175,23658264,132860-132860,LIMA,15101
493,"STANLEY	",          MALHOTRA,M,CA. LEONCIO PRADO 536 SANTA-ANCASH,23658265,76269-76269,LIMA,15101
494,"MELINDA	",          NAVARRO,F,CA. ELIAS AGUIRRE 155,23658266,20346096242-20346096242,LIMA,15101
